protein1,protein2,combined_score
9606.ENSP00000002125,9606.ENSP00000301457,740
9606.ENSP00000002125,9606.ENSP00000263774,735
9606.ENSP00000002125,9606.ENSP00000356972,947
9606.ENSP00000002125,9606.ENSP00000252711,721
9606.ENSP00000002125,9606.ENSP00000315774,791
9606.ENSP00000002125,9606.ENSP00000233627,813
9606.ENSP00000002125,9606.ENSP00000259037,708
9606.ENSP00000002125,9606.ENSP00000423673,702
9606.ENSP00000002125,9606.ENSP00000349142,825
9606.ENSP00000002125,9606.ENSP00000417142,705
9606.ENSP00000003084,9606.ENSP00000366488,976
9606.ENSP00000003084,9606.ENSP00000309591,982
9606.ENSP00000003084,9606.ENSP00000359719,976
9606.ENSP00000003302,9606.ENSP00000272317,932
9606.ENSP00000003302,9606.ENSP00000441543,991
9606.ENSP00000003302,9606.ENSP00000388107,951
9606.ENSP00000003302,9606.ENSP00000478771,930
9606.ENSP00000003302,9606.ENSP00000269305,806
9606.ENSP00000005178,9606.ENSP00000378487,829
9606.ENSP00000005178,9606.ENSP00000306253,825
9606.ENSP00000005178,9606.ENSP00000307786,718
9606.ENSP00000005178,9606.ENSP00000363435,817
9606.ENSP00000005257,9606.ENSP00000394560,925
9606.ENSP00000005257,9606.ENSP00000378974,926
9606.ENSP00000005257,9606.ENSP00000291295,827
9606.ENSP00000005257,9606.ENSP00000369689,816
9606.ENSP00000005257,9606.ENSP00000315299,817
9606.ENSP00000005257,9606.ENSP00000304643,786
9606.ENSP00000005257,9606.ENSP00000419081,786
9606.ENSP00000005257,9606.ENSP00000499717,849
9606.ENSP00000005284,9606.ENSP00000379098,766
9606.ENSP00000005284,9606.ENSP00000500386,805
9606.ENSP00000005286,9606.ENSP00000324173,723
9606.ENSP00000005340,9606.ENSP00000298910,739
9606.ENSP00000006053,9606.ENSP00000497260,800
9606.ENSP00000009105,9606.ENSP00000419081,800
9606.ENSP00000009105,9606.ENSP00000499797,791
9606.ENSP00000009105,9606.ENSP00000291295,943
9606.ENSP00000009105,9606.ENSP00000369689,837
9606.ENSP00000009105,9606.ENSP00000304643,809
9606.ENSP00000009105,9606.ENSP00000315299,837
9606.ENSP00000009530,9606.ENSP00000388107,973
9606.ENSP00000009530,9606.ENSP00000349142,839
